Model,MCC,ROC_AUC,Balanced_Accuracy,F1,Recall,Precision,Specificity,NPV,PR_AUC
LogisticRegression,0.7975558900018946,0.9682305555555556,0.8987499999999999,0.8989608532262237,0.9025,0.9007499234771962,0.9,0.9012630535473176,0.9691465670488616
LDA,0.7053533607599365,0.9145375,0.8525,0.8549338434560816,0.8641666666666666,0.8458388888445335,0.8425,0.8608902768982787,0.8952371202034123
RandomForest,0.7575320842805375,0.9583513888888888,0.8787499999999999,0.8786949964205537,0.8816666666666667,0.8812767766256138,0.8816666666666666,0.8803638046459334,0.9612167826130122
LightGBM,0.8400617772387278,0.9799680555555554,0.92,0.9204546716183436,0.9183333333333332,0.9222964104320036,0.9233333333333332,0.9179901738346136,0.9807196629227832
