Model,Mean_Accuracy,Std_Accuracy
LightGBM,0.9181666666666667,0.00439064662410648
RandomForest,0.8898333333333334,0.005587684871413377
LogisticRegression,0.8753333333333334,0.0022110831935702375
LDA,0.8528333333333334,0.011685698761972072
