Model,MCC,ROC_AUC,Balanced_Accuracy,F1,Recall,Precision,Specificity,NPV,PR_AUC
LogisticRegression,0.1518435743420785,0.6012702023183869,0.5755101296462395,0.6108104441383704,0.619949494949495,0.5959551762152087,0.5374993998175446,0.5554161200159717,0.6173263536133722
LDA,0.0946232932849805,0.5586685769210475,0.5473649459247076,0.5655282671610141,0.5516372795969773,0.5746324915190351,0.5389078279797058,0.5198843530244395,0.5765523794717748
RandomForest,0.2063786436600573,0.6471345944486055,0.5939800547851395,0.6815353627695568,0.803030303030303,0.5941587459214073,0.3912429378531074,0.6324437030859049,0.6539264928796316
LightGBM,0.2187203256113494,0.6610775837470753,0.6083825543571306,0.646678266608667,0.6658365773605068,0.6239147683497579,0.5494350282485876,0.5980763105315483,0.6737390524410807
